id,name,address,latitude,longitude
1,Tara Maa Medical Store,"SBSTC Bus Terminal Digha, New Digha Sea Beach Market Road, New Digha, Digha, RamNagar-I, Purba Medinipur, West Bengal, 721463, India",21.62148,87.50703
2,Medical Store,"New Digha Beach Point, 32, New Digha Sea Beach Rd, New Digha, Digha, West Bengal, 721463, India",21.61959,87.50618
3,Medicine Shop,"Gadadharpur, Digha, West Bengal, 721463, India",21.619,87.5012
4,Surya Medical Stores,"Surya Medical Stores, Medical Store, Digha Contai Road, Old Digha, Digha, RamNagar-I, Purba Medinipur, West Bengal, 721463, India",21.621539,87.504579
5,Jana Medical Store,"Rupasree Guest House, Dipak Rd, Gadadharpur, Digha, West Bengal, 721463, India",21.62081,87.50437
6,Amarabati Medical Store,"ICICI ATM, ICICI Bank ATM, Digha Contai Road, Old Digha, Digha, RamNagar-I, Purba Medinipur, West Bengal, 721463, India",21.621422,87.504278
7,Kanak Medical,"Digha ByPass Road, Digha ByPass Rd, New Digha, Digha, West Bengal, 721463, India",21.6255,87.5037
8,Rishaan Medishop,"New Digha Beach Point, 32, New Digha Sea Beach Rd, New Digha, Digha, West Bengal, 721463, India",21.61959,87.50618
9,Das Medical Store,"Gouranga Book Stall, Old Digha Neheru Market, Digha Contai Road, Old Digha, Digha, RamNagar-I, Purba Medinipur, West Bengal, 721428, India",21.623804,87.522523
10,Pradhan Medical,"Gouranga Book Stall, Old Digha Neheru Market, Digha Contai Road, Old Digha, Digha, RamNagar-I, Purba Medinipur, West Bengal, 721428, India",21.623804,87.522523
11,Life Line Medical,"Hotel Sea Breeze, Sea Beach Rd, Gadadharpur, Digha, West Bengal, 721428, India",21.62279,87.52246
12,Manipal Hospitals Dhakuria | Best MultiSpeciality Hospital In Dhakuria,"Manipal Hospitals Dhakuria | Best MultiSpeciality Hospital In Dhakuria, C.I.T Scheme, Gariahat Rd, Dhakuria, Lxxii Block A, P-4 & 5, Kolkata, West Bengal, 700031, India",22.5126,88.36742
13,M R Bangur Hospital,"Hospital, Mr Bangur Hospital, Russa Road 1st Lane, Madar Tala Colony, Kolkata, West Bengal, 700033, India",22.49932,88.34549
14,Nil Ratan Sircar Medical College And Hospital,"Sealdah Civil Court, Vidyapati FlyOver BRG, Vidyapati Setu, Sealdah, Raja Bazar, Kolkata, West Bengal, 700014, India",22.5664,88.3695
